RegionCode,RegionOperatorCode,ServiceCode,LineName,Description,StartDate
W,DJNS,WRCO039,39,Wrexham-WrexhamviaSuttonDrive,01/09/2012
W,DRTM,CMAL025,L25,Bynea-CoedcaeSchool,05/09/2017
W,DVPA,SWGO053,53,Tircoed-Swansea,19/06/2017
W,EAPE,BGAO051B,51B,"Bridgend-BridgendviaHanoverCourt,YstradFawr",15/11/2013
W,EAPE,BGAO052,52,Bridgend-Broadlands,19/12/2013
W,EAPE,SMAO032B,32B,Cardiff-TalbotGreen,04/09/2017
W,EAPE,SMAO088,88,Penarth-Barry,03/04/2017
W,EBRO,PBAO311,311,Haverfordwest-HaverfordwestviaBroadhaven,20/02/2017
W,EXMO,CWCS004,S4,"Caernarfon-PenyPassviaWaunfawr,Beddgelert",14/04/2017
W,EXMO,GYAO533,533,Dolgellau-Aberangell,04/09/2017
W,EXMO,GYAX001,X1,BlaenauFfestiniog-Llandudno,03/04/2017
W,EXMO,MGAS097,S97,Porthmadog-PenyPassviaBeddgelert,14/04/2017
W,EXMO,MGEO001,1,Porthmadog-CaernarfonviaPenygroes,03/04/2017
W,FCYM,BGAO066,66,"Bridgend-CywviaBrackla,Coychurch",03/04/2017
W,FCYM,CMAO126,126,AmmanfordBusStation-AmmanfordBusStationviaCwmgwili,04/09/2017
W,FCYM,FCAL004,L4,Llanelli-Pontarddulais,04/09/2017
W,FCYM,FCAO071,71,"Cymmer-BridgendviaMaesteg,Caerau,Llwydarth,Llangynwyd,Aberkenfig",02/04/2017
W,FCYM,FCAX010,X10,Swansea-CardiffviaBridgendDesignerOutletVillage,24/09/2017
W,FCYM,FCAX050,X50,Swansea-YstradgynlaisviaPontardawe,24/09/2017
W,FCYM,FCBO063,63,"Bridgend-PorthcawlviaPyle,NorthCornelly,SouthCornelly",03/01/2017
W,FCYM,FCCO067,67,"BridgendBusStation-BridgendBusStationviaPenyfai,SarnPO",03/04/2017
W,FCYM,FCCO166,166,Carmarthen-Llanelli,01/09/2015
W,FCYM,FCCX003,X3,"Swansea-MaestegviaPortTalbot,Ynysygwas,Bryn",03/04/2017
W,FCYM,FCDO195,195,"Llanelli-CarmarthenviaCynheidre,Pontyberem",04/09/2017
W,FCYM,FCEO302,302,"WithybushHospital-HubberstonviaHaverfordwest,Johnston,Steynton,MilfordHaven",03/04/2017
W,FCYM,FCFO128,128,Ammanford-LlanelliviaCrossHands,04/09/2017
W,FCYM,FCHO111,111,"Swansea-LlanelliviaGorseinon,PrincePhilipHospital",04/09/2017
W,FCYM,FCHX013,X13,Swansea-AmmanfordviaPontardulais,31/07/2016
W,FCYM,PBDO356,356,MilfordHaven-MonktonviaPembrokeDock,03/04/2017
W,FFOC,CMBB011,B11,Carmarthen-CarmarthenviaParcyffordd,09/06/2015
W,FFOC,CMBB012,B12,Carmarthen-CarmarthenviaGlynderi,09/06/2015
W,GLOB,MTAO028,28,Merthyr-Merthyr,30/10/2013
W,GOOD,ANAO024A,24A,Holyhead-HolyheadviaMorawelon,14/12/2013
W,GOOD,ANFO024,24,"Holyhead-HolyheadviaPenrhos,Morawelon",24/03/2013
W,GPTL,CMACSG2,CSG2,TrostreRoad-GraigCampus,02/09/2014
W,GWCO,ANHO042A,42A,Bangor-MenaiBridge,03/10/2015
W,GWCO,GYGO072A,72A,"ClipaBangor-BangorPierviaCollegeRoad,Garth",03/10/2016
W,HENL,GWGO002,2,AbertilleryPark-AbertilleryComprehenive,10/04/2016
W,HRRS,MGAC009,C9,Bargoed-Caerphilly,01/08/2016
W,HUTC,FLAO021B,21B,"BuckleyRailwayStation-BuckleyRailwayStationviaPrecinct,Southdown",16/05/2016
W,LJCO,DGBX005,X5,Wrexham-Corwen,08/08/2016
W,LJCO,MGAO006,6,Bangor-Bethesda,26/07/2017
W,LLAN,MGAO061,61,Amlwch-Pengorffwysfa,03/04/2017
W,LLCO,GYAO028,28,Tywyn-Dolgellau,04/09/2017
W,LLCO,GYAO034,34,Machynlleth-Aberllefenni,12/10/2014
W,LLCO,GYCO030,30,Dolgellau-Tywyn,16/10/2014
