RegionCode,RegionOperatorCode,ServiceCode,LineName,Description,StartDate
NW,ACY,NW_02_ACY_X30_1,X30,Chester-Runcorn-Warrington,29/10/2017
NW,ANW,NW_01_ANW_130_1,130,Macclesfield-Wilmslow-Handforth-Manchester,03/09/2017
NW,ANW,NW_01_ANW_6E_1,6E,LeightonHospital-Crewe-Shavington(Circular),23/10/2016
NW,ANW,NW_02_ANW_1_1,1,Northwich-WeaverhamCircular,24/01/2016
NW,AOM,NW_05_AOM_780_1,780,PRESCOT-RAINFORD,06/09/2017
NW,ARC,NW_05_ARC_526_1,526,FLEETWOODBROADWAY/LARKHOLMEPARADE-PREESALLSTAIDANSCETC,18/04/2017
NW,ARC,NW_05_ARC_967_1,967,FLEETWOOD-POULTONBAINESSCHOOL,06/09/2017
NW,ARRO,NW_02_ARRO_106_1,106,LittleSutton-Overpool-EPort-CheshireOaks,21/08/2011
NW,ARV,NW_05_ARV_362_1,362,CHORLEY-WIGAN,03/09/2017
NW,AVA,NW_05_AVA_681_1,681,BUCKSHAWVILLAGE-CHORLEY-PENWORTHAMGIRLSHS,27/01/2014
NW,2411,NW_06_2411_17A_1,17A,CLATTERBRIDGE-PRENTON-MORETON,01/01/2016
NW,2411,NW_06_2411_32_1,32,SUTTONMANOR-SUTTON-MOSSBANK,23/04/2017
NW,2411,NW_06_2411_418_1,418,NEWFERRY-BIRKENHEADPARK-NEWFERRY,03/09/2017
NW,2411,NW_06_2411_423_1,423,BIRKENHEAD-MORETON-LIVERPOOL,03/09/2017
NW,2411,NW_06_2411_432_1,432,LIVERPOOL-LISCARD-NEWBRIGHTON,23/07/2017
NW,2411,NW_06_2411_471_1,471,LIVERPOOL-LANDICAN-HESWALL,01/01/2016
NW,2411,NW_06_2411_472_1,472,LIVERPOOL-PRENTON-HESWALL,01/01/2016
NW,2411,NW_06_2411_495_1,495,BIRKENHEAD-BEECHWOOD-BIRKENHEAD,01/01/2016
NW,2411,NW_06_2411_53_1,53,GREATCROSBY-LINACRE-LIVERPOOL,03/09/2017
NW,2411,NW_06_2411_54_1,54,THORNTON-LIVERPOOL-THORNTON,22/01/2017
NW,2411,NW_06_2411_61_1,61,AIGBURTHVALE-WESTDERBY-BOOTLE,03/09/2017
NW,2411,NW_06_2411_621_1,621,NOCTORUM-GREASBY-WESTKIRBY,03/09/2017
NW,2411,NW_06_2411_63_1,63,BOOTLE-FAZAKERLEY-BOOTLE,23/04/2017
NW,2411,NW_06_2411_68A_1,68A,AIGBURTHVALE-STANLEY-BOOTLE,04/09/2016
NW,2411,NW_06_2411_786_1,786,MUNCASTER-BLEAKHILLBROW-STHELENS,01/01/2016
NW,2411,NW_06_2411_79_1,79,HALEWOOD-BELLEVALE-LIVERPOOL,03/09/2017
NW,2411,NW_06_2411_82D_1,82D,SPEKE-CRESSINGTONPARK-LIVERPOOL,03/09/2017
NW,2411,NW_06_2411_8E_1,8E,LIVERPOOL-KENSINGTON-STANLEY,23/04/2017
NW,2515,NW_06_2515_214_1,214,WALTON-DOGANDGUN-WALTON,24/07/2016
NW,2515,NW_06_2515_33_1,33,KENNESSEEGREEN-MAGHULL-KENNESSEEGREEN,23/04/2017
NW,2515,NW_06_2515_F3_1,F3,FORMBY-FORMBY-FORMBY,24/07/2016
NW,2527,NW_06_2527_1_1,1,MORETON-LEASOWE-MORETON,03/09/2017
NW,2527,NW_06_2527_1C_1,1C,MORETON-MORETON-MORETON,03/09/2017
NW,2578,NW_06_2578_102_1,102,WOOLFALLHEATH-CROXTETHPARK-FAZAKERLEY,01/01/2016
NW,2578,NW_06_2578_159_1,159,FAZAKERLEY-NETHERTON-WALTON,28/11/2016
NW,2578,NW_06_2578_167_1,167,GARSTON-GARSTON-GARSTON,01/01/2016
NW,2578,NW_06_2578_60_1,60,STHELENS-WINDLEHURST-STHELENS,03/09/2017
NW,2578,NW_06_2578_827_1,827,OLDSWAN-KNOWSLEYPARK-KNOWSLEYINDUSTRIALPAR,01/01/2016
NW,2581,NW_06_2581_700_1,700,ECCLESTONPARK-PRESCOT-RAINHILLSTOOPS,01/01/2016
NW,2582,NW_06_2582_3_1,3,HALEWOOD-GATEACRE-HUYTONQUARRY,23/07/2017
NW,2604,NW_06_2604_693_1,693,LITHERLAND-BOOTLE-BOOTLE,24/04/2016
NW,2604,NW_06_2604_721_1,721,MAGHULL-WALTONVALE-SEAFORTH,01/01/2016
NW,2604,NW_06_2604_759_1,759,FORMBY-LITTLEALTCAR-LITTLEALTCAR,01/01/2016
NW,2604,NW_06_2604_781_1,781,SEAFORTH-WATERLOO-CROSBY,01/01/2016
NW,2604,NW_06_2604_BR2_1,BR2,PRINCESPARK-KNOTTYASH-WHITEFIELDLANEEND,01/01/2016
NW,2604,NW_06_2604_EFC_1,EFC,WALTON-WALTON-SANDHILLS,01/01/2016
NW,2605,NW_06_2605_20_1,20,TOWERHILL-FAZAKERLEY-LIVERPOOL,03/09/2017
NW,2605,NW_06_2605_471_1,471,HESWALL-WOODCHURCH-LIVERPOOL,23/04/2017
NW,2605,NW_06_2605_623_1,623,NEWFERRYPARK-BROMBOROUGH-PLYMYARD,01/01/2016
NW,2605,NW_06_2605_646_1,646,EDGEHILL-ALLERTON-GARSTON,24/04/2016
NW,2605,NW_06_2605_697_1,697,RABY-THORNTONHOUGH-HIGHERBEBINGTON,01/01/2016
NW,2605,NW_06_2605_710_1,710,STANNS-PRESCOT-GRANGEPARK,01/01/2016
NW,2605,NW_06_2605_716_1,716,HILLSIDE-SOUTHPORT-BIRKDALE,01/01/2016
NW,2605,NW_06_2605_752_1,752,ECCLESTON-THATTOHEATH-RAINHILLSTOOPS,01/01/2016
NW,2605,NW_06_2605_86_1,86,GARSTON-MOSSLEYHILL-LIVERPOOL,03/09/2017
NW,2605,NW_06_2605_97A_1,97A,WESTVALE-KNOWSLEYINDUSTRIALPARK-WESTVALE,24/07/2016
NW,2605,NW_06_2605_TR1_1,TR1,CROSSHILL-CROSSHILL-LIVERPOOL,28/01/2017
NW,2608,NW_06_2608_627_1,627,HEATHFIELD-CROSSHILL-BIRKENHEAD,01/01/2016
NW,2608,NW_06_2608_628_2,628,GRANGE-HOYLAKE-MORETON,03/09/2017
NW,2608,NW_06_2608_635_2,635,MORETON-LEASOWE-LISCARD,01/01/2016
NW,2608,NW_06_2608_652_1,652,HEATHFIELD-LANDICAN-MORETON,24/04/2016
NW,2909,NW_06_2909_25_1,25,LIVERPOOL-LIVERPOOL-LIVERPOOL,30/06/2017
NW,2909,NW_06_2909_25_2,25,LIVERPOOL-LIVERPOOL-LIVERPOOL,01/04/2017
NW,ACY,NW_02_ACY_10_2,10,Chester-SealandRoad-ConnahsQuay,29/10/2017
NW,ACY,NW_02_ACY_10A_1,10A,Chester-Sealand-ConnahsQuay-Holywell,09/04/2017
NW,ACY,NW_02_ACY_11_1,11,Chester-Queensferry-ConnahsQuay-Holywell,28/05/2017
NW,ACY,NW_02_ACY_3A_2,3A,Chester-Broughton-Buckley-Mold,29/10/2017
NW,ANW,NW_01_ANW_10_1,10,Macclesfield-Tytherington-Bollington,20/07/2016
NW,2288,NW_06_2288_606_1,606,WALLASEY-POULTON-SEACOMBE,01/01/2016
NW,2288,NW_06_2288_637_1,637,LEASOWE-LEASOWE-MORETON,01/01/2016
NW,2288,NW_06_2288_653_1,653,THINGWALL-POLLHILL-BEBINGTON,01/01/2016
NW,2288,NW_06_2288_671_1,671,BARNSTON-POLLHILL-WESTKIRBY,01/01/2016
NW,2357,NW_06_2357_691_1,691,KIRKDALE-BOOTLE-LITHERLAND,24/04/2016
NW,2357,NW_06_2357_705_1,705,HILLSIDE-SOUTHPORT-HIGHPARK,11/09/2016
NW,2357,NW_06_2357_717_1,717,SOUTHPORT-HIGHPARK-CROSSENS,01/01/2016
NW,2357,NW_06_2357_LFC_1,LFC,LIVERPOOL-ANFIELD-LIVERPOOL,02/04/2017
NW,2367,NW_06_2367_16_1,16,CLATTERBRIDGE-PRENTON-MORETON,23/01/2017
NW,2367,NW_06_2367_202_1,202,DINGLE-TOXTETH-BROADGREEN,05/09/2016
NW,2367,NW_06_2367_628_1,628,MORETON-HOYLAKE-NEWTON,23/04/2017
NW,2367,NW_06_2367_91_1,91,BIRKENHEAD-OXTON-BIRKENHEAD,23/01/2017
NW,2391,NW_06_2391_14_1,14,WIDNES-NETHERLEY-LIVERPOOL,03/09/2017
NW,2391,NW_06_2391_17_1,17,WESTBANK-LUNT'SHEATH-STHELENS,01/01/2016
NW,2391,NW_06_2391_211_1,211,SPEKE-SPEKE-SPEKE,23/04/2017
NW,2391,NW_06_2391_3D_1,3D,PALACEFIELDS-WESTONPOINT-RUNCORN,28/05/2017
NW,2391,NW_06_2391_615_1,615,WOOLTON-BELLEVALE-BOWRINGPARK,01/01/2016
NW,2391,NW_06_2391_62B_1,62B,WARRINGTON-GRANGE-DITTON,30/10/2016
NW,2391,NW_06_2391_666_1,666,WOODLANDS-BELLEVALE-WOOLTON,03/09/2017
NW,2391,NW_06_2391_666_2,666,WOOLTON-NETHERLEY-BELLEVALE,03/09/2017
NW,2391,NW_06_2391_672_1,672,SEFTONPARK-WOOLTON-WOOLTON,03/09/2017
NW,2411,NW_06_2411_20_1,20,EARLESTOWN-BLACKBROOK-STHELENS,23/07/2017
NW,2411,NW_06_2411_217_2,217,WOODSIDE-ARROWEPARK-WOODSIDE,01/01/2016
NW,2411,NW_06_2411_30_1,30,LAFFAK-STHELENS-SUTTONMANOR,22/01/2017
NW,2411,NW_06_2411_31_1,31,DERBYSHIREHILL-PARR-STHELENS,01/01/2016
NW,2411,NW_06_2411_32A_1,32A,CLOCKFACE-PEASLEYCROSS-MOSSBANK,23/04/2017
NW,2411,NW_06_2411_37_1,37,ECCLESTON-COWLEYHILL-STHELENS,04/09/2016
NW,2411,NW_06_2411_414_1,414,NEWBRIGHTON-MORETON-WOODSIDE,01/01/2016
NW,2411,NW_06_2411_500_1,500,SPEKE-OTTERSPOOL-SPEKE,04/09/2016
NW,2411,NW_06_2411_58_1,58,NETHERTON-BOOTLE-LIVERPOOL,23/04/2017
NW,2411,NW_06_2411_60_1,60,AIGBURTHVALE-OLDSWAN-BOOTLE,03/09/2017
NW,2411,NW_06_2411_630_1,630,WOODCHURCH-WOODCHURCH-MORETON,03/09/2017
NW,2411,NW_06_2411_68_1,68,AIGBURTHVALE-STANLEY-BOOTLE,04/09/2016
NW,2411,NW_06_2411_7_1,7,WARRINGTON-HUYTON-LIVERPOOL,23/04/2017
NW,2411,NW_06_2411_713_1,713,HILLSIDE-HIGHPARK-HIGHPARK,01/01/2016
NW,2411,NW_06_2411_78_1,78,HALEWOOD-LIVERPOOL-HALEWOOD,23/04/2017
NW,2411,NW_06_2411_80_1,80,SPEKE-GARSTON-LIVERPOOL,22/01/2017
NW,2411,NW_06_2411_81_1,81,SPEKE-WOOLTON-BOOTLE,03/09/2017
NW,2411,NW_06_2411_81A_1,81A,SPEKE-WAVERTREE-BOOTLE,03/09/2017
NW,2462,NW_06_2462_FER_2,FER,LIVERPOOL-SEACOMBE-LIVERPOOL,01/04/2017
NW,2515,NW_06_2515_121_1,121,NORRISGREEN-FIELDLANEESTATE-AINTREE,24/07/2016
NW,2515,NW_06_2515_31_1,31,KENNESSEEGREEN-LYDIATE-KENNESSEEGREEN,23/04/2017
NW,2515,NW_06_2515_40_1,40,SOUTHPORT-MARSHSIDE-MARSHSIDE,01/01/2016
NW,2515,NW_06_2515_F2_1,F2,FORMBY-FRESHFIELD-FORMBY,24/07/2016
NW,2515,NW_06_2515_F5_1,F5,FORMBY-FRESHFIELD-FORMBY,24/07/2016
NW,2527,NW_06_2527_645_1,645,HESWALL-PENSBY-PENSBY,01/01/2016
NW,2578,NW_06_2578_12_1,12,STHELENS-SUTTON-STHELENS,04/09/2016
NW,2578,NW_06_2578_140_1,140,STANNS-BOLD-STHELENS,03/09/2017
NW,2578,NW_06_2578_247_1,247,HUYTON-HUYTON-HUYTON,01/01/2016
NW,2578,NW_06_2578_288_1,288,GARSTON-WOODLANDS-GARSTON,01/01/2016
